post_title,post_date,data_year,education_office,post_url,attachment_name,attachment_url,attachment_type,downloaded_at,sha256,local_file,parser_version
2025학년도 중학교 입학 배정 시행요강,2024.10.23,2025,haeundae,https://home.pen.go.kr/haeundae/na/ntt/selectNttInfo.do?mi=11419&bbsId=3550&nttSn=881736,요강.hwp,https://home.pen.go.kr/upload/haeundae/na/bbs_3550/ntt_881736/doc_21e3v4025-a8v4a-4ev57-a8v3c-c4a9v33dcvddc2_v5804.hwp,hwp,2026-09-05T12:02:29.323513+00:00,3d6cf6aad0fcf6f591eae4e0279512299a54c7f41581f86f4174d5853713230d,요강.hwp,0.1.0
2025학년도 중학교 입학 배정 시행계획,2024.10.10,2025,haeundae,https://home.pen.go.kr/haeundae/na/ntt/selectNttInfo.do?mi=11419&bbsId=3550&nttSn=879684,★2025학년도 중입배정 시행 계획.pdf,https://home.pen.go.kr/upload/haeundae/na/bbs_3550/ntt_879684/doc_e50evdbd3-29v0e-4avde-81v8b-1c5av5087v8512_v5779.pdf,pdf,2026-09-05T12:02:29.323513+00:00,31ac3d942641ec6af5ec9a1018c11e537f3ebe0c22928442cca6cb0e74c13e96,★2025학년도 중입배정 시행 계획.pdf,0.1.0
