kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A61485906,연지2차청구아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61486005,연지자이1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61486008,세동한신아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10022574,초읍하늘채포레스원아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10024953,포레나부산초읍,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10020721,백양산서희스타힐스(백양산서희스타힐스),VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10022844,롯데캐슬라센트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10026861,서면동일파크스위트3차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10028147,서면동일파크스위트1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,12,
A61409002,서면쌍용스윗닷홈스카이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61409003,일성in4아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61409004,타워베르빌,VERIFIED_MASTER,True,False,False,KB부동산 (13595),7,전체 주거 세대 (아파트 566세대 산정)
A61409005,서면동문굿모닝힐,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,13,
A61409302,당감뜨란채아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61479403,백양산쌍용스윗닷홈아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61484004,협성피닉스아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,10,
A61484005,화승삼성아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10023021,서면 비스타동원,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10025434,서면2차 봄여름가을겨울아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A61410304,서면삼익아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61475202,태화현대1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61475903,태화현대2차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
